id,timestamp,method,path,status,size,user_agent,geoip_country,geoip_city,device_type,ip
15,2024-08-16 16:34:20,DELETE,/contact.html,500,3091,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Nauru,Lake William,Desktop,122.205.130.174
16,2024-08-16 16:35:19,GET,/about.html,301,903,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Guam,Brianburgh,Desktop,208.211.45.45
17,2024-08-16 16:35:54,POST,/login,301,288,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Trinidad and Tobago,Port Jacquelinefurt,Desktop,144.43.157.164
18,2024-08-16 16:36:31,PUT,/products.html,200,3555,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Liechtenstein,Lake Kaitlynton,Desktop,201.141.131.197
19,2024-08-16 16:39:47,GET,/contact.html,500,732,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",British Virgin Islands,South Brianland,Tablet,27.12.216.130
20,2024-08-16 16:44:25,POST,/contact.html,302,3103,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Marshall Islands,New Michael,Desktop,210.57.38.232
21,2024-08-16 16:48:21,DELETE,/login,500,3005,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Indonesia,Port Jessica,Desktop,91.246.12.3
22,2024-08-16 16:51:55,GET,/products.html,404,2152,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",North Macedonia,Stevensstad,Desktop,111.185.160.170
23,2024-08-16 16:53:01,DELETE,/login,500,2157,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Burundi,South Stephanie,Desktop,223.192.100.41
24,2024-08-16 16:57:20,DELETE,/about.html,404,4859,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Cambodia,Navarrofort,Tablet,33.172.243.198
25,2024-08-16 16:59:27,POST,/about.html,200,425,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Burundi,Williamtown,Tablet,150.109.238.28
26,2024-08-16 17:01:28,PUT,/contact.html,301,2047,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Russian Federation,Klinebury,Tablet,132.226.129.164
27,2024-08-16 17:05:04,PUT,/contact.html,500,4216,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Zambia,Steelefort,Desktop,209.235.53.159
28,2024-08-16 17:06:45,GET,/login,302,1865,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Mozambique,New Ashleybury,Desktop,133.231.50.15
29,2024-08-16 17:11:11,DELETE,/home,404,3848,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Niger,Knighttown,Tablet,144.148.55.15
30,2024-08-16 17:13:14,GET,/services.html,404,4160,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Swaziland,West Kayla,Desktop,203.218.147.47
31,2024-08-16 17:13:33,PUT,/contact.html,200,2410,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Tunisia,East Cory,Desktop,80.67.27.168
32,2024-08-16 17:15:02,DELETE,/services.html,200,3439,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Heard Island and McDonald Islands,Marshburgh,Desktop,60.87.43.104
33,2024-08-16 17:19:41,DELETE,/products.html,500,4954,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",French Polynesia,Wyattfurt,Desktop,162.69.110.17
34,2024-08-16 17:21:46,GET,/products.html,301,4021,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Cote d'Ivoire,Valeriestad,Desktop,185.48.229.230
35,2024-08-16 17:23:33,PUT,/login,302,3577,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Palestinian Territory,Perkinsstad,Desktop,169.137.15.25
36,2024-08-16 17:28:21,PUT,/login,500,2503,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Belize,Feliciafort,Desktop,129.125.103.60
37,2024-08-16 17:29:16,DELETE,/about.html,200,4768,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Cocos (Keeling) Islands,New Alexisville,Desktop,196.119.252.149
38,2024-08-16 17:33:41,DELETE,/login,200,4317,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Qatar,East James,Desktop,219.114.245.99
39,2024-08-16 17:37:03,GET,/about.html,500,3964,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Latvia,West Jacqueline,Tablet,37.197.193.59
40,2024-08-16 17:38:36,GET,/contact.html,500,1886,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Libyan Arab Jamahiriya,Dudleyside,Tablet,126.167.114.30
41,2024-08-16 17:40:04,PUT,/home,500,1836,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Dominica,Maryberg,Desktop,207.173.211.175
42,2024-08-16 17:43:53,PUT,/contact.html,500,440,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Haiti,North Matthewville,Desktop,88.248.11.110
43,2024-08-16 17:46:35,PUT,/services.html,404,720,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Thailand,West Melanieshire,Desktop,216.73.7.96
44,2024-08-16 17:51:03,GET,/home,301,4137,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Philippines,Jacquelineville,Tablet,189.63.20.107
45,2024-08-16 17:54:22,PUT,/contact.html,404,3051,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Algeria,Beardport,Tablet,105.229.48.36
46,2024-08-16 17:57:34,PUT,/about.html,302,3437,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Pakistan,Lake Natalie,Tablet,144.151.11.130
47,2024-08-16 18:02:00,POST,/about.html,500,487,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Algeria,West Curtis,Desktop,171.177.70.123
48,2024-08-16 18:04:51,POST,/services.html,200,3132,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Kiribati,Millerton,Desktop,80.118.47.220
49,2024-08-16 18:09:35,PUT,/about.html,302,3041,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Sierra Leone,Kelseyland,Desktop,138.61.31.229
50,2024-08-16 18:09:46,GET,/products.html,500,476,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Luxembourg,New Jose,Tablet,25.99.39.217
51,2024-08-16 18:11:00,DELETE,/login,200,3980,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Bangladesh,Hendrickston,Desktop,192.113.246.199
52,2024-08-16 18:12:42,PUT,/about.html,404,4403,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Mongolia,Whitechester,Desktop,180.90.231.60
53,2024-08-16 18:14:15,PUT,/products.html,500,2455,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Algeria,Bestland,Desktop,223.196.172.20
54,2024-08-16 18:18:28,GET,/home,404,2820,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Palau,West Kimberly,Desktop,203.163.148.190
55,2024-08-16 18:22:13,PUT,/products.html,200,4571,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Guatemala,Port Michael,Desktop,81.143.236.158
56,2024-08-16 18:22:50,PUT,/services.html,301,1227,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Kuwait,North Matthewchester,Tablet,143.140.159.232
57,2024-08-16 18:24:40,GET,/about.html,200,1474,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Niger,Huntside,Desktop,211.17.134.7
58,2024-08-16 18:25:02,GET,/login,200,4604,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Italy,West Kellyshire,Desktop,61.63.187.242
59,2024-08-16 18:25:54,POST,/contact.html,302,3711,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Turks and Caicos Islands,Terrifurt,Desktop,43.192.176.33
60,2024-08-16 18:27:40,POST,/products.html,200,3367,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Brazil,Staceytown,Desktop,136.64.114.252
61,2024-08-16 18:31:59,DELETE,/services.html,404,4441,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Bangladesh,East Justinfurt,Tablet,221.165.23.163
62,2024-08-16 18:33:33,PUT,/contact.html,301,1615,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Korea,Lake Katherine,Desktop,167.253.117.121
63,2024-08-16 18:33:52,GET,/services.html,301,3117,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",India,New Jonathan,Desktop,219.215.142.109
64,2024-08-16 18:35:30,POST,/products.html,500,1970,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Myanmar,New Jennifer,Desktop,41.194.197.234
65,2024-08-16 18:36:31,PUT,/home,404,1055,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Slovenia,Rowlandshire,Desktop,163.151.153.174
66,2024-08-16 18:38:48,DELETE,/home,302,991,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Gibraltar,Jasonfurt,Desktop,202.35.97.158
67,2024-08-16 18:41:07,GET,/services.html,500,1055,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Tuvalu,Williamsburgh,Desktop,214.63.153.203
68,2024-08-16 18:42:58,PUT,/products.html,404,1040,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",American Samoa,Lake Jessica,Desktop,202.216.234.101
69,2024-08-16 18:46:05,GET,/login,404,4989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Saint Barthelemy,Sosamouth,Tablet,84.216.45.208
70,2024-08-16 18:46:09,POST,/contact.html,301,482,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Japan,Lake Melodyfort,Tablet,218.247.60.233
71,2024-08-16 18:49:17,DELETE,/services.html,200,4458,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Albania,West Nicole,Tablet,176.33.77.76
72,2024-08-16 18:53:52,GET,/contact.html,500,1812,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",United States Virgin Islands,Taylorberg,Desktop,169.210.71.158
73,2024-08-16 18:56:26,POST,/contact.html,404,1934,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Georgia,Mooreburgh,Desktop,130.126.71.119
74,2024-08-16 19:00:12,POST,/services.html,404,4239,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Greenland,South Jenniferview,Desktop,50.86.250.37
75,2024-08-16 19:03:37,POST,/services.html,404,487,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Israel,Lake Heathermouth,Tablet,93.229.106.83
76,2024-08-16 19:06:27,PUT,/products.html,404,3511,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Honduras,Carrmouth,Desktop,219.2.183.170
77,2024-08-16 19:09:26,GET,/services.html,302,4797,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Netherlands,Savannahborough,Tablet,114.126.4.169
78,2024-08-16 19:11:26,DELETE,/home,200,468,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Kenya,West Brian,Desktop,53.212.40.220
79,2024-08-16 19:14:58,GET,/about.html,200,2871,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Holy See (Vatican City State),Mendozashire,Desktop,111.118.175.92
80,2024-08-16 19:19:58,POST,/products.html,404,4950,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Slovenia,Roberthaven,Tablet,90.195.100.160
81,2024-08-16 19:20:58,PUT,/about.html,301,3263,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Paraguay,East Chadstad,Desktop,199.5.9.52
82,2024-08-16 19:23:28,GET,/about.html,200,2719,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",British Virgin Islands,West Ericstad,Desktop,166.105.14.25
83,2024-08-16 19:28:09,DELETE,/about.html,302,4928,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",United Kingdom,Christopherburgh,Desktop,212.188.70.239
84,2024-08-16 19:29:28,PUT,/products.html,302,825,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Zambia,Donnaside,Desktop,196.176.246.201
85,2024-08-16 19:30:28,POST,/about.html,200,3946,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Korea,West Alecside,Desktop,75.129.190.96
86,2024-08-16 19:34:19,POST,/services.html,404,2478,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Svalbard & Jan Mayen Islands,Braunside,Tablet,147.183.97.48
87,2024-08-16 19:36:06,PUT,/contact.html,301,3638,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Saint Martin,Harrischester,Desktop,78.110.6.65
88,2024-08-16 19:38:37,GET,/contact.html,302,285,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Timor-Leste,East Matthew,Desktop,178.49.1.216
89,2024-08-16 19:42:19,POST,/services.html,302,2126,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",South Georgia and the South Sandwich Islands,Maldonadotown,Desktop,186.178.86.19
90,2024-08-16 19:46:16,PUT,/products.html,302,393,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Jordan,Christianhaven,Desktop,128.227.241.91
91,2024-08-16 19:49:06,POST,/products.html,404,2818,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Sri Lanka,Fieldschester,Tablet,17.226.94.214
92,2024-08-16 19:53:51,DELETE,/services.html,500,2786,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Korea,New Jacob,Desktop,176.64.63.189
93,2024-08-16 19:55:53,DELETE,/about.html,500,3523,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Austria,Nataliehaven,Desktop,110.143.197.112
94,2024-08-16 19:57:42,POST,/products.html,301,958,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Falkland Islands (Malvinas),Johnview,Desktop,191.44.162.53
95,2024-08-16 19:59:15,GET,/about.html,200,3964,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Central African Republic,East Andreatown,Desktop,71.38.201.187
96,2024-08-16 20:03:47,DELETE,/products.html,301,4526,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Brazil,East Sarah,Desktop,55.9.220.209
97,2024-08-16 20:03:57,GET,/products.html,200,4823,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Iran,Luisport,Desktop,176.101.160.82
98,2024-08-16 20:08:12,PUT,/products.html,302,3831,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Ecuador,Danielbury,Tablet,150.29.21.180
99,2024-08-16 20:09:38,DELETE,/home,404,4941,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Luxembourg,East Brendan,Desktop,146.196.186.155
100,2024-08-16 20:12:52,POST,/home,200,529,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Barbados,New Caleb,Tablet,211.95.49.147
101,2024-08-16 20:14:10,GET,/services.html,301,2231,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Liechtenstein,Williamsborough,Tablet,50.220.21.75
102,2024-08-16 20:17:27,PUT,/contact.html,301,2101,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",French Southern Territories,Jeffreybury,Desktop,220.37.244.237
103,2024-08-16 20:21:03,DELETE,/products.html,500,1698,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Saint Vincent and the Grenadines,Kaylaburgh,Desktop,192.170.88.131
104,2024-08-16 20:24:30,PUT,/login,200,1271,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Azerbaijan,Port Jesusburgh,Desktop,182.231.23.34
105,2024-08-16 20:25:20,POST,/contact.html,200,3094,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36",Turkey,Chelseachester,Desktop,216.12.219.166
106,2024-08-16 20:26:24,DELETE,/home,301,1504,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",Ghana,Port John,Desktop,36.73.5.147
107,2024-08-16 20:26:38,PUT,/home,200,4844,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",Slovakia (Slovak Republic),Lake Kathrynfurt,Tablet,161.169.146.140
